#term ID	term description	observed gene count	background gene count	strength	false discovery rate	matching proteins in your network (IDs)	matching proteins in your network (labels)
ath01100	Metabolic pathways	104	1899	0.28	6.80e-08	3702.AT1G02500.1,3702.AT1G03630.1,3702.AT1G04920.1,3702.AT1G05590.1,3702.AT1G06410.1,3702.AT1G06820.1,3702.AT1G08750.1,3702.AT1G09430.1,3702.AT1G11790.1,3702.AT1G12840.1,3702.AT1G22940.1,3702.AT1G29900.1,3702.AT1G34130.1,3702.AT1G44575.1,3702.AT1G44820.1,3702.AT1G51260.1,3702.AT1G53310.3,3702.AT1G61790.1,3702.AT1G63180.1,3702.AT1G63660.1,3702.AT1G64710.1,3702.AT1G67730.1,3702.AT1G67880.1,3702.AT1G70290.1,3702.AT1G70730.3,3702.AT1G73480.1,3702.AT1G74260.1,3702.AT1G74920.1,3702.AT1G78800.1,3702.AT1G79870.1,3702.AT2G05320.1,3702.AT2G18450.1,3702.AT2G19570.1,3702.AT2G23096.1,3702.AT2G24270.4,3702.AT2G26080.1,3702.AT2G26670.1,3702.AT2G29560.1,3702.AT2G31250.1,3702.AT2G32260.1,3702.AT2G37040.1,3702.AT2G38280.2,3702.AT2G40890.1,3702.AT2G42010.1,3702.AT2G42490.1,3702.AT2G44350.2,3702.AT3G02780.1,3702.AT3G03900.1,3702.AT3G05430.1,3702.AT3G20040.1,3702.AT3G22200.2,3702.AT3G29320.1,3702.AT3G48560.1,3702.AT3G48780.1,3702.AT3G48870.1,3702.AT3G51820.1,3702.AT3G53580.1,3702.AT3G55260.1,3702.AT3G57050.1,3702.AT3G60750.1,3702.AT3G60880.2,3702.AT4G03280.1,3702.AT4G05160.1,3702.AT4G10120.2,3702.AT4G14070.1,3702.AT4G14140.2,3702.AT4G16155.1,3702.AT4G16800.1,3702.AT4G19020.1,3702.AT4G23900.1,3702.AT4G26390.1,3702.AT4G26900.1,3702.AT4G30570.1,3702.AT5G04040.1,3702.AT5G04590.1,3702.AT5G08670.1,3702.AT5G09350.1,3702.AT5G09730.1,3702.AT5G10100.1,3702.AT5G13110.1,3702.AT5G13630.1,3702.AT5G14590.1,3702.AT5G14950.1,3702.AT5G15140.1,3702.AT5G15490.1,3702.AT5G15950.2,3702.AT5G16760.1,3702.AT5G17330.1,3702.AT5G17990.1,3702.AT5G19200.1,3702.AT5G27450.2,3702.AT5G36880.2,3702.AT5G42800.1,3702.AT5G49650.1,3702.AT5G54770.1,3702.AT5G56350.1,3702.AT5G57030.1,3702.AT5G57655.2,3702.AT5G60600.1,3702.AT5G63840.1,3702.AT5G64380.1,3702.AT5G65720.1,3702.AT5G65750.1,3702.AT5G66120.2	SAM1,PORC,SPS3F,HEXO2,TPS7,CRTISO,AT1G08750,ACLA-3,ADT1,DET3,TH1,CARB,STT3B,NPQ4,AT1G44820,LPAT3,PPC1,AT1G61790,UGE3,AT1G63660,AT1G64710,KCR1,AT1G67880,TPS8,PGM2,AT1G73480,PUR4,ALDH10A8,AT1G78800,AT1G79870,AT2G05320,SDH1-2,CDA1,P4H13,ALDH11A3,GLDP2,TED4,ENOC,HEMA3,CCT1,PAL1,FAC1,CYP98A3,PLDBETA1,AT2G42490,ATCS,IPP2,APK3,AT3G05430,ATHXK4,POP2,AT3G29320,CSR1,SPT1,HSP93-III,G4,AT3G53580,HEXO1,CBL,AT3G60750,DHDPS1,PETC,AT4G05160,ATSPS4F,AAE15,DMT2,AT4G16155,AT4G16800,CMT2,AT4G23900,AT4G26390,AT-HF,AT4G30570,SDP1,SIR,AT5G08670,PI-4KBETA2,BXL3,TPPI,G6PD2,GUN5,AT5G14590,GMII,AT5G15140,UGD3,AT5G15950,ITPK1,GAD,At5g17990,TSC10B,MK,ACS,DFR,XK-2,THI1,AT5G56350,LUT2,AT5G57655,HDS,RSW3,AT5G64380,NFS1,AT5G65750,AT5G66120
ath01110	Biosynthesis of secondary metabolites	59	1063	0.29	0.00015	3702.AT1G02500.1,3702.AT1G03630.1,3702.AT1G06820.1,3702.AT1G09430.1,3702.AT1G11790.1,3702.AT1G19440.1,3702.AT1G25450.1,3702.AT1G44820.1,3702.AT1G51260.1,3702.AT1G64710.1,3702.AT1G67730.1,3702.AT1G70730.3,3702.AT1G74260.1,3702.AT1G79870.1,3702.AT2G18450.1,3702.AT2G20610.1,3702.AT2G26080.1,3702.AT2G26670.1,3702.AT2G29560.1,3702.AT2G31250.1,3702.AT2G37040.1,3702.AT2G38280.2,3702.AT2G40890.1,3702.AT2G42010.1,3702.AT2G42490.1,3702.AT2G44350.2,3702.AT3G02780.1,3702.AT3G12900.1,3702.AT3G20040.1,3702.AT3G29320.1,3702.AT3G48560.1,3702.AT3G51820.1,3702.AT3G53580.1,3702.AT3G57050.1,3702.AT3G60750.1,3702.AT3G60880.2,3702.AT4G05160.1,3702.AT4G16155.1,3702.AT4G23900.1,3702.AT4G26390.1,3702.AT4G26900.1,3702.AT4G30570.1,3702.AT5G04040.1,3702.AT5G05690.1,3702.AT5G13110.1,3702.AT5G13630.1,3702.AT5G14590.1,3702.AT5G15140.1,3702.AT5G17330.1,3702.AT5G17990.1,3702.AT5G27450.2,3702.AT5G36880.2,3702.AT5G42800.1,3702.AT5G56350.1,3702.AT5G57030.1,3702.AT5G60600.1,3702.AT5G64380.1,3702.AT5G65750.1,3702.AT5G66120.2	SAM1,PORC,CRTISO,ACLA-3,ADT1,KCS4,KCS5,AT1G44820,LPAT3,AT1G64710,KCR1,PGM2,PUR4,AT1G79870,SDH1-2,SUR1,GLDP2,TED4,ENOC,HEMA3,PAL1,FAC1,CYP98A3,PLDBETA1,AT2G42490,ATCS,IPP2,AT3G12900,ATHXK4,AT3G29320,CSR1,G4,AT3G53580,CBL,AT3G60750,DHDPS1,AT4G05160,AT4G16155,AT4G23900,AT4G26390,AT-HF,AT4G30570,SDP1,CPD,G6PD2,GUN5,AT5G14590,AT5G15140,GAD,At5g17990,MK,ACS,DFR,AT5G56350,LUT2,HDS,AT5G64380,AT5G65750,AT5G66120
ath03013	RNA transport	18	161	0.59	0.00015	3702.AT1G59660.1,3702.AT1G72560.3,3702.AT1G72730.1,3702.AT1G76810.1,3702.AT1G79280.2,3702.AT1G80670.1,3702.AT2G13540.1,3702.AT2G32230.1,3702.AT2G40290.1,3702.AT3G14120.1,3702.AT3G15610.1,3702.AT3G16380.1,3702.AT3G22860.1,3702.AT4G32910.1,3702.AT4G34110.1,3702.AT5G09860.1,3702.AT5G25780.1,3702.AT5G47010.1	AT1G59660,PSD,AT1G72730,AT1G76810,NUA,RAE1,ABH1,PRORP1,AT2G40290,AT3G14120,AT3G15610,PAB6,TIF3C2,AT4G32910,PAB2,THO1,EIF3B-2,LBA1
ath03015	mRNA surveillance pathway	14	111	0.64	0.00030	3702.AT1G17720.1,3702.AT1G17760.1,3702.AT1G18070.3,3702.AT1G69960.1,3702.AT2G13540.1,3702.AT3G07810.2,3702.AT3G16380.1,3702.AT3G46820.1,3702.AT4G27650.1,3702.AT4G34110.1,3702.AT5G01400.1,3702.AT5G43380.1,3702.AT5G47010.1,3702.AT5G66240.2	PP2AB2,CSTF77,AT1G18070,PP2A,ABH1,AT3G07810,PAB6,TOPP5,PEL1,PAB2,ESP4,TOPP6,LBA1,AT5G66240
ath03050	Proteasome	9	58	0.73	0.0022	3702.AT1G20200.1,3702.AT1G53750.1,3702.AT2G20580.1,3702.AT3G22110.1,3702.AT3G26340.1,3702.AT4G24820.1,3702.AT4G29040.1,3702.AT5G19990.1,3702.AT5G43010.1	EMB2719,RPT1A,RPN1A,PAC1,AT3G26340,AT4G24820,RPT2a,RPT6A,RPT4A
ath00450	Selenocompound metabolism	5	18	0.99	0.0068	3702.AT2G41680.1,3702.AT3G57050.1,3702.AT4G13780.1,3702.AT4G35460.1,3702.AT5G49810.1	NTRC,CBL,AT4G13780,NTRB,MMT
ath00510	N-Glycan biosynthesis	7	44	0.74	0.0068	3702.AT1G34130.1,3702.AT1G61790.1,3702.AT1G67880.1,3702.AT1G78800.1,3702.AT2G05320.1,3702.AT5G14950.1,3702.AT5G63840.1	STT3B,AT1G61790,AT1G67880,AT1G78800,AT2G05320,GMII,RSW3
ath00970	Aminoacyl-tRNA biosynthesis	8	57	0.69	0.0068	3702.AT1G29870.1,3702.AT2G04842.1,3702.AT4G10320.1,3702.AT4G13780.1,3702.AT4G31180.1,3702.AT4G39280.2,3702.AT5G22800.1,3702.AT5G56680.1	AT1G29870,EMB2761,AT4G10320,AT4G13780,AT4G31180,AT4G39280,EMB1030,SYNC1
ath01200	Carbon metabolism	19	261	0.4	0.0068	3702.AT1G53310.3,3702.AT1G79870.1,3702.AT2G18450.1,3702.AT2G24270.4,3702.AT2G26080.1,3702.AT2G29560.1,3702.AT2G44350.2,3702.AT3G20040.1,3702.AT3G60750.1,3702.AT4G16155.1,3702.AT4G26390.1,3702.AT4G37550.1,3702.AT4G37560.1,3702.AT5G13110.1,3702.AT5G14590.1,3702.AT5G36880.2,3702.AT5G56350.1,3702.AT5G64380.1,3702.AT5G65750.1	PPC1,AT1G79870,SDH1-2,ALDH11A3,GLDP2,ENOC,ATCS,ATHXK4,AT3G60750,AT4G16155,AT4G26390,AT4G37550,AT4G37560,G6PD2,AT5G14590,ACS,AT5G56350,AT5G64380,AT5G65750
ath00010	Glycolysis / Gluconeogenesis	11	115	0.52	0.0093	3702.AT1G64710.1,3702.AT1G70730.3,3702.AT2G24270.4,3702.AT2G29560.1,3702.AT3G20040.1,3702.AT4G16155.1,3702.AT4G26390.1,3702.AT5G15140.1,3702.AT5G36880.2,3702.AT5G56350.1,3702.AT5G64380.1	AT1G64710,PGM2,ALDH11A3,ENOC,ATHXK4,AT4G16155,AT4G26390,AT5G15140,ACS,AT5G56350,AT5G64380
