#node1	node2	node1_string_id	node2_string_id	neighborhood_on_chromosome	gene_fusion	phylogenetic_cooccurrence	homology	coexpression	experimentally_determined_interaction	database_annotated	automated_textmining	combined_score
ABCD1	RECA1	3702.AT4G39850.3	3702.AT1G79050.1	0	0	0	0	0	0.768	0	0	0.768
ABH1	IMPA-9	3702.AT2G13540.1	3702.AT5G03070.1	0	0	0	0	0	0.758	0	0	0.758
ABH1	U1-70K	3702.AT2G13540.1	3702.AT3G50670.1	0	0	0	0	0	0.752	0	0	0.752
ABH1	AT2G42520	3702.AT2G13540.1	3702.AT2G42520.1	0	0	0	0	0	0.730	0	0	0.730
ABH1	ATO	3702.AT2G13540.1	3702.AT5G06160.1	0	0	0	0	0	0.804	0	0	0.804
APC4	EMB1030	3702.AT4G21530.1	3702.AT5G22800.1	0	0	0	0	0	0.777	0	0	0.777
ARP5	RIN1	3702.AT3G12380.2	3702.AT5G22330.1	0	0	0	0	0	0.946	0	0	0.946
AT1G12470	SYP51	3702.AT1G12470.1	3702.AT1G16240.1	0	0	0	0	0	0.771	0	0	0.771
AT1G12470	AT1G22860	3702.AT1G12470.1	3702.AT1G22860.1	0	0	0	0	0	0.834	0	0	0.834
AT1G18070	AT3G48830	3702.AT1G18070.3	3702.AT3G48830.1	0	0	0	0	0	0.764	0	0	0.764
AT1G18070	PAB2	3702.AT1G18070.3	3702.AT4G34110.1	0	0	0	0	0	0.764	0	0	0.764
AT1G18070	PAB6	3702.AT1G18070.3	3702.AT3G16380.1	0	0	0	0	0	0.764	0	0	0.764
AT1G18070	LBA1	3702.AT1G18070.3	3702.AT5G47010.1	0	0	0	0	0	0.859	0	0	0.859
AT1G25682	AT5G25230	3702.AT1G25682.1	3702.AT5G25230.1	0	0	0	0	0	0.837	0	0	0.837
AT1G29800	MK	3702.AT1G29800.1	3702.AT5G27450.2	0	0	0	0	0	0.715	0	0	0.715
AT1G42440	EMB3129	3702.AT1G42440.1	3702.AT4G02790.1	0	0	0	0	0	0.760	0	0	0.760
AT1G42440	AT4G23540	3702.AT1G42440.1	3702.AT4G23540.1	0	0	0	0	0	0.836	0	0	0.836
AT1G59660	AT4G32910	3702.AT1G59660.1	3702.AT4G32910.1	0	0	0	0	0	0.815	0	0	0.815
AT1G59660	AT3G14120	3702.AT1G59660.1	3702.AT3G14120.1	0	0	0	0	0	0.835	0	0	0.835
AT1G59660	RAE1	3702.AT1G59660.1	3702.AT1G80670.1	0	0	0	0	0	0.831	0	0	0.831
AT1G61790	STT3B	3702.AT1G61790.1	3702.AT1G34130.1	0	0	0	0	0	0.833	0	0	0.833
AT1G63210	IWS2	3702.AT1G63210.1	3702.AT4G19000.1	0	0	0	0	0	0.807	0	0	0.807
AT1G63210	NRPD1B	3702.AT1G63210.1	3702.AT2G40030.1	0	0	0	0	0	0.828	0	0	0.828
AT2G01440	EMB2762	3702.AT2G01440.1	3702.AT2G17250.1	0	0	0	0	0	0.807	0	0	0.807
AT2G40290	TIF3C2	3702.AT2G40290.1	3702.AT3G22860.1	0	0	0	0	0	0.831	0	0	0.831
AT2G40290	EIF3B-2	3702.AT2G40290.1	3702.AT5G25780.1	0	0	0	0	0	0.823	0	0	0.823
AT2G40290	AT4G18330	3702.AT2G40290.1	3702.AT4G18330.2	0	0	0	0	0	0.832	0	0	0.832
AT2G42520	EMB2770	3702.AT2G42520.1	3702.AT4G03430.1	0	0	0	0	0	0.832	0	0	0.832
AT2G42520	AT5G25230	3702.AT2G42520.1	3702.AT5G25230.1	0	0	0	0	0	0.832	0	0	0.832
AT2G46520	TPP2	3702.AT2G46520.1	3702.AT4G20850.1	0	0	0	0	0	0.733	0	0	0.733
AT2G46520	IMPA-9	3702.AT2G46520.1	3702.AT5G03070.1	0	0	0	0	0	0.771	0	0	0.771
AT2G47250	EMB2762	3702.AT2G47250.1	3702.AT2G17250.1	0	0	0	0	0	0.732	0	0	0.732
AT2G47250	AT5G25230	3702.AT2G47250.1	3702.AT5G25230.1	0	0	0	0	0	0.828	0	0	0.828
AT3G14120	NUA	3702.AT3G14120.1	3702.AT1G79280.2	0	0	0	0	0	0.762	0	0	0.762
AT3G14120	RIF10	3702.AT3G14120.1	3702.AT3G03710.1	0	0	0	0	0	0.730	0	0	0.730
AT3G14120	AT4G32910	3702.AT3G14120.1	3702.AT4G32910.1	0	0	0	0	0	0.858	0	0	0.858
AT3G26340	EMB2719	3702.AT3G26340.1	3702.AT1G20200.1	0	0	0	0	0	0.835	0	0	0.835
AT3G26340	RPT1A	3702.AT3G26340.1	3702.AT1G53750.1	0	0	0	0	0	0.831	0	0	0.831
AT3G26340	RPN1A	3702.AT3G26340.1	3702.AT2G20580.1	0	0	0	0	0	0.829	0	0	0.829
AT3G26340	UBP7	3702.AT3G26340.1	3702.AT3G21280.1	0	0	0	0	0	0.804	0	0	0.804
AT3G26340	PAC1	3702.AT3G26340.1	3702.AT3G22110.1	0	0	0	0	0	0.837	0	0	0.837
AT3G26340	RPT4A	3702.AT3G26340.1	3702.AT5G43010.1	0	0	0	0	0	0.823	0	0	0.823
AT3G26340	RPT6A	3702.AT3G26340.1	3702.AT5G19990.1	0	0	0	0	0	0.837	0	0	0.837
AT3G26340	RPT2a	3702.AT3G26340.1	3702.AT4G29040.1	0	0	0	0	0	0.876	0	0	0.876
AT3G26340	AT4G24820	3702.AT3G26340.1	3702.AT4G24820.1	0	0	0	0	0	0.857	0	0	0.857
AT4G02030	SYP51	3702.AT4G02030.2	3702.AT1G16240.1	0	0	0	0	0	0.834	0	0	0.834
AT4G02030	HIT1	3702.AT4G02030.2	3702.AT1G50500.2	0	0	0	0	0	0.857	0	0	0.857
AT4G02030	PIN1	3702.AT4G02030.2	3702.AT1G73590.1	0	0	0	0	0	0.752	0	0	0.752
AT4G10320	AT4G31180	3702.AT4G10320.1	3702.AT4G31180.1	0	0	0	0	0	0.816	0	0	0.816
AT4G10320	AT4G13780	3702.AT4G10320.1	3702.AT4G13780.1	0	0	0	0	0	0.965	0	0	0.965
AT4G13780	PSD	3702.AT4G13780.1	3702.AT1G72560.3	0	0	0	0	0	0.833	0	0	0.833
AT4G13780	AT4G31180	3702.AT4G13780.1	3702.AT4G31180.1	0	0	0	0	0	0.965	0	0	0.965
AT4G14310	PMH1	3702.AT4G14310.2	3702.AT3G22310.1	0	0	0	0	0	0.995	0	0	0.995
