#term ID	term description	observed gene count	background gene count	strength	false discovery rate	matching proteins in your network (IDs)	matching proteins in your network (labels)
PF01535	PPR repeat	39	465	0.47	1.10e-05	3702.AT1G03100.1,3702.AT1G08070.1,3702.AT1G13630.1,3702.AT1G51965.1,3702.AT1G56570.1,3702.AT1G71460.1,3702.AT1G73710.1,3702.AT1G74850.1,3702.AT2G02150.1,3702.AT2G13600.1,3702.AT2G27610.1,3702.AT2G32230.1,3702.AT2G32630.1,3702.AT3G03580.1,3702.AT3G15130.1,3702.AT3G15200.1,3702.AT3G18110.1,3702.AT3G47840.1,3702.AT3G48250.1,3702.AT4G18750.1,3702.AT4G20090.1,3702.AT4G20770.1,3702.AT4G21705.1,3702.AT4G30825.1,3702.AT4G31850.1,3702.AT4G32450.1,3702.AT4G34830.1,3702.AT4G37380.1,3702.AT5G19020.1,3702.AT5G37570.1,3702.AT5G38730.1,3702.AT5G40405.1,3702.AT5G46580.1,3702.AT5G48730.1,3702.AT5G55740.1,3702.AT5G55840.1,3702.AT5G59900.1,3702.AT5G64320.1,3702.AT5G66520.1	AT1G03100,OTP82,AT1G13630,ABO5,PGN,AT1G71460,AT1G73710,PTAC2,EMB2794,SLO2,AT2G27610,PRORP1,AT2G32630,AT3G03580,AT3G15130,AT3G15200,EMB1270,AT3G47840,BIR6,DOT4,EMB1025,AT4G20770,AT4G21705,AT4G30825,PGR3,MEF8S,MRL1,AT4G37380,MEF18,AT5G37570,AT5G38730,AT5G40405,AT5G46580,AT5G48730,CRR21,AT5G55840,AT5G59900,AT5G64320,AT5G66520
PF12854	PPR repeat	30	309	0.53	1.10e-05	3702.AT1G08070.1,3702.AT1G13630.1,3702.AT1G51965.1,3702.AT1G56570.1,3702.AT1G73710.1,3702.AT1G74850.1,3702.AT2G02150.1,3702.AT2G13600.1,3702.AT2G27610.1,3702.AT2G32630.1,3702.AT3G03580.1,3702.AT3G15200.1,3702.AT3G18110.1,3702.AT3G47840.1,3702.AT3G48250.1,3702.AT4G18750.1,3702.AT4G20090.1,3702.AT4G20770.1,3702.AT4G30825.1,3702.AT4G31850.1,3702.AT4G34830.1,3702.AT5G19020.1,3702.AT5G38730.1,3702.AT5G46580.1,3702.AT5G48730.1,3702.AT5G55740.1,3702.AT5G55840.1,3702.AT5G59900.1,3702.AT5G64320.1,3702.AT5G66520.1	OTP82,AT1G13630,ABO5,PGN,AT1G73710,PTAC2,EMB2794,SLO2,AT2G27610,AT2G32630,AT3G03580,AT3G15200,EMB1270,AT3G47840,BIR6,DOT4,EMB1025,AT4G20770,AT4G30825,PGR3,MRL1,MEF18,AT5G38730,AT5G46580,AT5G48730,CRR21,AT5G55840,AT5G59900,AT5G64320,AT5G66520
PF13041	PPR repeat family 	37	427	0.48	1.10e-05	3702.AT1G03100.1,3702.AT1G08070.1,3702.AT1G13630.1,3702.AT1G51965.1,3702.AT1G56570.1,3702.AT1G71460.1,3702.AT1G73710.1,3702.AT1G74850.1,3702.AT2G02150.1,3702.AT2G13600.1,3702.AT2G27610.1,3702.AT2G32630.1,3702.AT3G03580.1,3702.AT3G15130.1,3702.AT3G15200.1,3702.AT3G18110.1,3702.AT3G47840.1,3702.AT3G48250.1,3702.AT4G18750.1,3702.AT4G20090.1,3702.AT4G20770.1,3702.AT4G21705.1,3702.AT4G30825.1,3702.AT4G31850.1,3702.AT4G34830.1,3702.AT4G37380.1,3702.AT5G19020.1,3702.AT5G37570.1,3702.AT5G38730.1,3702.AT5G40405.1,3702.AT5G46580.1,3702.AT5G48730.1,3702.AT5G55740.1,3702.AT5G55840.1,3702.AT5G59900.1,3702.AT5G64320.1,3702.AT5G66520.1	AT1G03100,OTP82,AT1G13630,ABO5,PGN,AT1G71460,AT1G73710,PTAC2,EMB2794,SLO2,AT2G27610,AT2G32630,AT3G03580,AT3G15130,AT3G15200,EMB1270,AT3G47840,BIR6,DOT4,EMB1025,AT4G20770,AT4G21705,AT4G30825,PGR3,MRL1,AT4G37380,MEF18,AT5G37570,AT5G38730,AT5G40405,AT5G46580,AT5G48730,CRR21,AT5G55840,AT5G59900,AT5G64320,AT5G66520
PF13812	Pentatricopeptide repeat domain	36	413	0.48	1.10e-05	3702.AT1G03100.1,3702.AT1G08070.1,3702.AT1G13630.1,3702.AT1G51965.1,3702.AT1G56570.1,3702.AT1G71460.1,3702.AT1G73710.1,3702.AT1G74850.1,3702.AT2G02150.1,3702.AT2G13600.1,3702.AT2G27610.1,3702.AT2G32630.1,3702.AT3G03580.1,3702.AT3G15130.1,3702.AT3G15200.1,3702.AT3G18110.1,3702.AT3G47840.1,3702.AT3G48250.1,3702.AT4G18750.1,3702.AT4G20090.1,3702.AT4G20770.1,3702.AT4G21705.1,3702.AT4G30825.1,3702.AT4G31850.1,3702.AT4G34830.1,3702.AT5G19020.1,3702.AT5G37570.1,3702.AT5G38730.1,3702.AT5G40405.1,3702.AT5G46580.1,3702.AT5G48730.1,3702.AT5G55740.1,3702.AT5G55840.1,3702.AT5G59900.1,3702.AT5G64320.1,3702.AT5G66520.1	AT1G03100,OTP82,AT1G13630,ABO5,PGN,AT1G71460,AT1G73710,PTAC2,EMB2794,SLO2,AT2G27610,AT2G32630,AT3G03580,AT3G15130,AT3G15200,EMB1270,AT3G47840,BIR6,DOT4,EMB1025,AT4G20770,AT4G21705,AT4G30825,PGR3,MRL1,MEF18,AT5G37570,AT5G38730,AT5G40405,AT5G46580,AT5G48730,CRR21,AT5G55840,AT5G59900,AT5G64320,AT5G66520
PF07724	AAA domain (Cdc48 subfamily)	10	35	1.0	6.36e-05	3702.AT1G05910.1,3702.AT1G53750.1,3702.AT1G74310.1,3702.AT3G09840.1,3702.AT3G48870.1,3702.AT4G29040.1,3702.AT5G19990.1,3702.AT5G26860.1,3702.AT5G43010.1,3702.AT5G57710.1	AT1G05910,RPT1A,HSP101,CDC48,HSP93-III,RPT2a,RPT6A,LON1,RPT4A,AT5G57710
PF00271	Helicase conserved C-terminal domain	18	148	0.63	0.00015	3702.AT1G08600.4,3702.AT1G58050.1,3702.AT1G72730.1,3702.AT2G01440.1,3702.AT2G25170.1,3702.AT2G30800.1,3702.AT2G42520.1,3702.AT2G46020.2,3702.AT2G47250.1,3702.AT3G19210.1,3702.AT3G22310.1,3702.AT4G00660.1,3702.AT4G15850.1,3702.AT4G18465.1,3702.AT4G32700.2,3702.AT5G20320.1,3702.AT5G26742.2,3702.AT5G61140.2	ATRX,AT1G58050,AT1G72730,AT2G01440,PKL,HVT1,AT2G42520,BRM,AT2G47250,RAD54,PMH1,RH8,RH1,AT4G18465,AT4G32700,DCL4,emb1138,AT5G61140
PF00270	DEAD/DEAH box helicase	14	101	0.68	0.00052	3702.AT1G58050.1,3702.AT1G72730.1,3702.AT2G01440.1,3702.AT2G30800.1,3702.AT2G42520.1,3702.AT2G47250.1,3702.AT3G19210.1,3702.AT3G22310.1,3702.AT4G00660.1,3702.AT4G15850.1,3702.AT4G32700.2,3702.AT5G20320.1,3702.AT5G26742.2,3702.AT5G61140.2	AT1G58050,AT1G72730,AT2G01440,HVT1,AT2G42520,AT2G47250,RAD54,PMH1,RH8,RH1,AT4G32700,DCL4,emb1138,AT5G61140
PF04851	Type III restriction enzyme, res subunit	12	78	0.73	0.00085	3702.AT1G03190.2,3702.AT1G08600.4,3702.AT1G72730.1,3702.AT2G25170.1,3702.AT2G46020.2,3702.AT3G19210.1,3702.AT3G22310.1,3702.AT4G15850.1,3702.AT5G20320.1,3702.AT5G26742.2,3702.AT5G47010.1,3702.AT5G61140.2	UVH6,ATRX,AT1G72730,PKL,BRM,RAD54,PMH1,RH1,DCL4,emb1138,LBA1,AT5G61140
PF00004	ATPase family associated with various cellular activities (AAA)	16	142	0.59	0.00095	3702.AT1G05910.1,3702.AT1G53750.1,3702.AT1G74310.1,3702.AT1G79560.1,3702.AT2G26140.1,3702.AT2G27600.1,3702.AT2G30950.1,3702.AT3G09840.1,3702.AT3G48870.1,3702.AT4G23940.1,3702.AT4G29040.1,3702.AT5G08470.1,3702.AT5G19990.1,3702.AT5G22330.1,3702.AT5G26860.1,3702.AT5G43010.1	AT1G05910,RPT1A,HSP101,FTSH12,ftsh4,SKD1,VAR2,CDC48,HSP93-III,FtsHi1,RPT2a,PEX1,RPT6A,RIN1,LON1,RPT4A
PF17177	Pentacotripeptide-repeat region of PRORP	18	178	0.55	0.00096	3702.AT1G51965.1,3702.AT1G73710.1,3702.AT1G74850.1,3702.AT2G02150.1,3702.AT2G27610.1,3702.AT2G32230.1,3702.AT2G32630.1,3702.AT3G18110.1,3702.AT3G48250.1,3702.AT4G20090.1,3702.AT4G31850.1,3702.AT4G34830.1,3702.AT5G38730.1,3702.AT5G46580.1,3702.AT5G48730.1,3702.AT5G55840.1,3702.AT5G59900.1,3702.AT5G64320.1	ABO5,AT1G73710,PTAC2,EMB2794,AT2G27610,PRORP1,AT2G32630,EMB1270,BIR6,EMB1025,PGR3,MRL1,AT5G38730,AT5G46580,AT5G48730,AT5G55840,AT5G59900,AT5G64320
